"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","gene","comparison","status"
"VSIR",0,14.5129089760946,0.115,0,0,"VSIR","AS_Group_vs_Healthy","upregulated in diseased group"
"RPS26",0,1.30189998170281,0.937,0.826,0,"RPS26","AS_Group_vs_Healthy","upregulated in diseased group"
"COPS9",0,14.2584085897644,0.11,0,0,"COPS9","AS_Group_vs_Healthy","upregulated in diseased group"
"ARF5",0,1.09269162036872,0.25,0.14,0,"ARF5","AS_Group_vs_Healthy","upregulated in diseased group"
"PSMB10",0,1.30040754802969,0.21,0.104,0,"PSMB10","AS_Group_vs_Healthy","upregulated in diseased group"
"LIME1",0,6.06840854374963,0.107,0.002,0,"LIME1","AS_Group_vs_Healthy","upregulated in diseased group"
"TOMM5",0,1.13729680999842,0.215,0.111,0,"TOMM5","AS_Group_vs_Healthy","upregulated in diseased group"
"AC243960.1",0,14.3517626461867,0.104,0,0,"AC243960.1","AS_Group_vs_Healthy","upregulated in diseased group"
"SELENOF",0,14.159787693146,0.103,0,0,"SELENOF","AS_Group_vs_Healthy","upregulated in diseased group"
"METTL26",0,14.1635964948788,0.103,0,0,"METTL26","AS_Group_vs_Healthy","upregulated in diseased group"
"JPT1",0,14.2131410527998,0.101,0,0,"JPT1","AS_Group_vs_Healthy","upregulated in diseased group"
"AC016831.7",0,1.74859080776631,0.136,0.039,0,"AC016831.7","AS_Group_vs_Healthy","upregulated in diseased group"
"SMIM26",0,14.0408893245055,0.097,0,0,"SMIM26","AS_Group_vs_Healthy","upregulated in diseased group"
"NSD3",0,14.0523808345863,0.092,0,0,"NSD3","AS_Group_vs_Healthy","upregulated in diseased group"
"SELENOT",0,13.9227061494276,0.089,0,0,"SELENOT","AS_Group_vs_Healthy","upregulated in diseased group"
"STMP1",0,13.885044438026,0.084,0,0,"STMP1","AS_Group_vs_Healthy","upregulated in diseased group"
"ARHGAP45",0,4.75644429614338,0.084,0,0,"ARHGAP45","AS_Group_vs_Healthy","upregulated in diseased group"
"CREM",0,1.7213921469568,0.176,0.092,0,"CREM","AS_Group_vs_Healthy","upregulated in diseased group"
"FAM177A1",0,1.11997824178834,0.24,0.156,0,"FAM177A1","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5MC1",0,13.7389744669695,0.083,0,0,"ATP5MC1","AS_Group_vs_Healthy","upregulated in diseased group"
"SELENOM",0,13.769447578907,0.079,0,0,"SELENOM","AS_Group_vs_Healthy","upregulated in diseased group"
"NBDY",0,13.6733230275264,0.078,0,0,"NBDY","AS_Group_vs_Healthy","upregulated in diseased group"
"ELOC",0,13.6490835805199,0.077,0,0,"ELOC","AS_Group_vs_Healthy","upregulated in diseased group"
"TENT5C",0,14.1015099527186,0.076,0,0,"TENT5C","AS_Group_vs_Healthy","upregulated in diseased group"
"CYBC1",0,13.6745066508765,0.075,0,0,"CYBC1","AS_Group_vs_Healthy","upregulated in diseased group"
"HMGN4",0,1.47743432174159,0.113,0.041,0,"HMGN4","AS_Group_vs_Healthy","upregulated in diseased group"
"UFD1",0,13.5630103652411,0.072,0,0,"UFD1","AS_Group_vs_Healthy","upregulated in diseased group"
"SH2D2A",0,1.12300045894308,0.156,0.085,0,"SH2D2A","AS_Group_vs_Healthy","upregulated in diseased group"
"WASHC1",0,13.5758349875048,0.071,0,0,"WASHC1","AS_Group_vs_Healthy","upregulated in diseased group"
"MESD",0,13.5013241295493,0.069,0,0,"MESD","AS_Group_vs_Healthy","upregulated in diseased group"
"PLSCR3",0,13.4534034860342,0.066,0,0,"PLSCR3","AS_Group_vs_Healthy","upregulated in diseased group"
"NORAD",0,13.5617127242631,0.066,0,0,"NORAD","AS_Group_vs_Healthy","upregulated in diseased group"
"CYTOR",0,13.7849445959593,0.065,0,0,"CYTOR","AS_Group_vs_Healthy","upregulated in diseased group"
"CRYBG1",0,13.5883202565883,0.065,0,0,"CRYBG1","AS_Group_vs_Healthy","upregulated in diseased group"
"RTF2",0,13.3355540514624,0.065,0,0,"RTF2","AS_Group_vs_Healthy","upregulated in diseased group"
"SHMT2",0,1.551692122157,0.109,0.045,0,"SHMT2","AS_Group_vs_Healthy","upregulated in diseased group"
"DUSP4",0,3.69135238987674,0.071,0.009,0,"DUSP4","AS_Group_vs_Healthy","upregulated in diseased group"
"SMIM37",0,13.2638306939004,0.06,0,0,"SMIM37","AS_Group_vs_Healthy","upregulated in diseased group"
"BUD23",0,13.2150750895794,0.059,0,0,"BUD23","AS_Group_vs_Healthy","upregulated in diseased group"
"NPDC1",0,1.67863865949783,0.091,0.033,0,"NPDC1","AS_Group_vs_Healthy","upregulated in diseased group"
"CISH",0,1.53834694333654,0.092,0.035,0,"CISH","AS_Group_vs_Healthy","upregulated in diseased group"
"TNFRSF4",0,1.31774403306546,0.1,0.044,0,"TNFRSF4","AS_Group_vs_Healthy","upregulated in diseased group"
"AC119396.1",0,13.1629488706089,0.056,0,0,"AC119396.1","AS_Group_vs_Healthy","upregulated in diseased group"
"INTS11",0,13.1029100620033,0.055,0,0,"INTS11","AS_Group_vs_Healthy","upregulated in diseased group"
"TUT4",0,13.2295669600457,0.055,0,0,"TUT4","AS_Group_vs_Healthy","upregulated in diseased group"
"MCRIP1",0,13.0557559185671,0.054,0,0,"MCRIP1","AS_Group_vs_Healthy","upregulated in diseased group"
"CCR6",0,2.24366308311879,0.073,0.019,0,"CCR6","AS_Group_vs_Healthy","upregulated in diseased group"
"UQCRHL",0,3.83243127685603,0.058,0.005,0,"UQCRHL","AS_Group_vs_Healthy","upregulated in diseased group"
"ILF3-DT",0,13.1004155179479,0.053,0,0,"ILF3-DT","AS_Group_vs_Healthy","upregulated in diseased group"
"EBLN3P",0,13.0217373467193,0.052,0,0,"EBLN3P","AS_Group_vs_Healthy","upregulated in diseased group"
"TRIR",0,13.111487866828,0.052,0,0,"TRIR","AS_Group_vs_Healthy","upregulated in diseased group"
"NDUFAF8",0,12.8986983153892,0.049,0,0,"NDUFAF8","AS_Group_vs_Healthy","upregulated in diseased group"
"STN1",0,12.9388188784914,0.048,0,0,"STN1","AS_Group_vs_Healthy","upregulated in diseased group"
"SELENOS",0,12.946641859721,0.048,0,0,"SELENOS","AS_Group_vs_Healthy","upregulated in diseased group"
"CENPX",0,12.8690873753437,0.048,0,0,"CENPX","AS_Group_vs_Healthy","upregulated in diseased group"
"MAN2B1",0,1.81561212768332,0.069,0.022,0,"MAN2B1","AS_Group_vs_Healthy","upregulated in diseased group"
"CEMIP2",0,13.1130083096214,0.047,0,0,"CEMIP2","AS_Group_vs_Healthy","upregulated in diseased group"
"WASHC3",0,12.8269610540887,0.047,0,0,"WASHC3","AS_Group_vs_Healthy","upregulated in diseased group"
"AL118516.1",0,12.9546265599158,0.047,0,0,"AL118516.1","AS_Group_vs_Healthy","upregulated in diseased group"
"HIKESHI",0,12.7804973599552,0.046,0,0,"HIKESHI","AS_Group_vs_Healthy","upregulated in diseased group"
"AC026979.2",0,12.8630763859626,0.045,0,0,"AC026979.2","AS_Group_vs_Healthy","upregulated in diseased group"
"SMIM27",0,12.8172813231274,0.045,0,0,"SMIM27","AS_Group_vs_Healthy","upregulated in diseased group"
"KCNA3",0,1.71639690024173,0.064,0.021,0,"KCNA3","AS_Group_vs_Healthy","upregulated in diseased group"
"NAXE",0,12.7034105690537,0.042,0,0,"NAXE","AS_Group_vs_Healthy","upregulated in diseased group"
"AP002387.2",0,12.6621810284329,0.042,0,0,"AP002387.2","AS_Group_vs_Healthy","upregulated in diseased group"
"MRPS24",0,2.41258793608803,0.053,0.011,0,"MRPS24","AS_Group_vs_Healthy","upregulated in diseased group"
"LINC02273",0,12.7094525430673,0.041,0,0,"LINC02273","AS_Group_vs_Healthy","upregulated in diseased group"
"FOXP3",0,3.02729718594915,0.048,0.007,0,"FOXP3","AS_Group_vs_Healthy","upregulated in diseased group"
"DMAC1",0,12.5812252120177,0.041,0,0,"DMAC1","AS_Group_vs_Healthy","upregulated in diseased group"
"OVCA2",0,7.95813719694219,0.041,0,0,"OVCA2","AS_Group_vs_Healthy","upregulated in diseased group"
"AC008555.5",0,12.6577704008795,0.041,0,0,"AC008555.5","AS_Group_vs_Healthy","upregulated in diseased group"
"BEX3",0,12.7235344993445,0.04,0,0,"BEX3","AS_Group_vs_Healthy","upregulated in diseased group"
"TRBV20-1",0,6.31208591503865,0.044,0.004,0,"TRBV20-1","AS_Group_vs_Healthy","upregulated in diseased group"
"WBP1",0,2.25531276534802,0.049,0.01,0,"WBP1","AS_Group_vs_Healthy","upregulated in diseased group"
"NIPSNAP2",0,12.526637864903,0.039,0,0,"NIPSNAP2","AS_Group_vs_Healthy","upregulated in diseased group"
"ERG28",0,12.5040045622373,0.039,0,0,"ERG28","AS_Group_vs_Healthy","upregulated in diseased group"
"RAMMET",0,12.5984706816276,0.039,0,0,"RAMMET","AS_Group_vs_Healthy","upregulated in diseased group"
"SINHCAF",0,12.534384942607,0.038,0,0,"SINHCAF","AS_Group_vs_Healthy","upregulated in diseased group"
"AC116366.3",0,12.4431466678833,0.035,0,0,"AC116366.3","AS_Group_vs_Healthy","upregulated in diseased group"
"OGA",0,12.4995938644151,0.035,0,0,"OGA","AS_Group_vs_Healthy","upregulated in diseased group"
"TMEM35B",0,12.3648661783239,0.034,0,0,"TMEM35B","AS_Group_vs_Healthy","upregulated in diseased group"
"SMIM29",0,12.3164785110229,0.034,0,0,"SMIM29","AS_Group_vs_Healthy","upregulated in diseased group"
"PLPBP",0,12.3290522020037,0.034,0,0,"PLPBP","AS_Group_vs_Healthy","upregulated in diseased group"
"GRK2",0,12.4460270052576,0.034,0,0,"GRK2","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP2B1-AS1",0,12.6122414511262,0.033,0,0,"ATP2B1-AS1","AS_Group_vs_Healthy","upregulated in diseased group"
"TMEM131L",0,5.4724325965209,0.032,0,0,"TMEM131L","AS_Group_vs_Healthy","upregulated in diseased group"
"TENT2",0,1.32723539427212,0.032,0,0,"TENT2","AS_Group_vs_Healthy","upregulated in diseased group"
"OTULINL",0,12.3296696755108,0.031,0,0,"OTULINL","AS_Group_vs_Healthy","upregulated in diseased group"
"ETFRF1",0,12.1107963944953,0.031,0,0,"ETFRF1","AS_Group_vs_Healthy","upregulated in diseased group"
"MRPL58",0,12.1665286725892,0.031,0,0,"MRPL58","AS_Group_vs_Healthy","upregulated in diseased group"
"AC025164.1",0,12.2302836998731,0.03,0,0,"AC025164.1","AS_Group_vs_Healthy","upregulated in diseased group"
"AC004687.1",0,12.3123741570438,0.03,0,0,"AC004687.1","AS_Group_vs_Healthy","upregulated in diseased group"
"CFAP298",0,12.1659725565365,0.03,0,0,"CFAP298","AS_Group_vs_Healthy","upregulated in diseased group"
"VPS26C",0,12.1254838218418,0.029,0,0,"VPS26C","AS_Group_vs_Healthy","upregulated in diseased group"
"LINC01871",0,12.2577290243711,0.028,0,0,"LINC01871","AS_Group_vs_Healthy","upregulated in diseased group"
"CCDC32",0,12.0907864435306,0.028,0,0,"CCDC32","AS_Group_vs_Healthy","upregulated in diseased group"
"ARMH1",0,12.0204375877366,0.027,0,0,"ARMH1","AS_Group_vs_Healthy","upregulated in diseased group"
"NEPRO",0,11.9949515845153,0.027,0,0,"NEPRO","AS_Group_vs_Healthy","upregulated in diseased group"
"ABRAXAS1",0,12.0830477001427,0.027,0,0,"ABRAXAS1","AS_Group_vs_Healthy","upregulated in diseased group"
"ERBIN",0,12.1162178002248,0.027,0,0,"ERBIN","AS_Group_vs_Healthy","upregulated in diseased group"
"AL138963.3",0,12.4449999958651,0.027,0,0,"AL138963.3","AS_Group_vs_Healthy","upregulated in diseased group"
"SQOR",0,11.9975762010601,0.027,0,0,"SQOR","AS_Group_vs_Healthy","upregulated in diseased group"
"RTL8C",0,11.9458798147439,0.026,0,0,"RTL8C","AS_Group_vs_Healthy","upregulated in diseased group"
"AC025159.1",0,11.9917872407014,0.026,0,0,"AC025159.1","AS_Group_vs_Healthy","upregulated in diseased group"
"MHENCR",0,11.9696352971561,0.026,0,0,"MHENCR","AS_Group_vs_Healthy","upregulated in diseased group"
"AC118549.1",0,11.9209606628927,0.025,0,0,"AC118549.1","AS_Group_vs_Healthy","upregulated in diseased group"
"MUC20-OT1",0,11.9358553161718,0.025,0,0,"MUC20-OT1","AS_Group_vs_Healthy","upregulated in diseased group"
"SLC9A3",0,11.8980970830868,0.025,0,0,"SLC9A3","AS_Group_vs_Healthy","upregulated in diseased group"
"DELE1",0,11.969720456244,0.025,0,0,"DELE1","AS_Group_vs_Healthy","upregulated in diseased group"
"AC012615.1",0,12.0737919024228,0.025,0,0,"AC012615.1","AS_Group_vs_Healthy","upregulated in diseased group"
"NKAPD1",0,11.797870235545,0.024,0,0,"NKAPD1","AS_Group_vs_Healthy","upregulated in diseased group"
"AP002884.1",0,12.074256465482,0.024,0,0,"AP002884.1","AS_Group_vs_Healthy","upregulated in diseased group"
"WASHC4",0,11.8211200750737,0.024,0,0,"WASHC4","AS_Group_vs_Healthy","upregulated in diseased group"
"PCNX1",0,11.9493583950017,0.024,0,0,"PCNX1","AS_Group_vs_Healthy","upregulated in diseased group"
"RETREG3",0,11.9003708696478,0.024,0,0,"RETREG3","AS_Group_vs_Healthy","upregulated in diseased group"
"AL136454.1",0,11.7402248045158,0.023,0,0,"AL136454.1","AS_Group_vs_Healthy","upregulated in diseased group"
"SPOUT1",0,11.749751407253,0.023,0,0,"SPOUT1","AS_Group_vs_Healthy","upregulated in diseased group"
"MINDY2",0,11.8284469385149,0.023,0,0,"MINDY2","AS_Group_vs_Healthy","upregulated in diseased group"
"PGGHG",5.86469658172975e-308,11.7976251410885,0.023,0,1.62534201066058e-303,"PGGHG","AS_Group_vs_Healthy","upregulated in diseased group"
"MIA2",1.61094257853579e-307,7.91123258402884,0.023,0,4.4645662621541e-303,"MIA2","AS_Group_vs_Healthy","upregulated in diseased group"
"RMC1",1.23841120081409e-306,11.8046831867219,0.023,0,3.43213280193616e-302,"RMC1","AS_Group_vs_Healthy","upregulated in diseased group"
"TRBV7-2",4.11454948217604e-306,6.40471095222208,0.03,0.003,1.14030624349027e-301,"TRBV7-2","AS_Group_vs_Healthy","upregulated in diseased group"
"MRM3",1.57259742948868e-305,11.8181914955304,0.023,0,4.35829651608491e-301,"MRM3","AS_Group_vs_Healthy","upregulated in diseased group"
"ZGPAT",6.66541971494977e-304,2.51538495231541,0.038,0.006,1.84725441980118e-299,"ZGPAT","AS_Group_vs_Healthy","upregulated in diseased group"
"RHBDD2",1.048460224743e-301,1.25361725190273,0.124,0.064,2.90570266685276e-297,"RHBDD2","AS_Group_vs_Healthy","upregulated in diseased group"
"COQ8A",5.1768163903725e-300,11.754222870218,0.022,0,1.43470289442783e-295,"COQ8A","AS_Group_vs_Healthy","upregulated in diseased group"
"GON7",3.95048350352299e-299,11.6828866602991,0.022,0,1.09483699816636e-294,"GON7","AS_Group_vs_Healthy","upregulated in diseased group"
"LINC02001",6.35145596117686e-297,11.7223084600699,0.022,0,1.76024250508055e-292,"LINC02001","AS_Group_vs_Healthy","upregulated in diseased group"
"LINC00476",7.25155002776971e-290,11.716987823508,0.022,0,2.0096945746961e-285,"LINC00476","AS_Group_vs_Healthy","upregulated in diseased group"
"MTREX",8.8508450393681e-287,11.6880456618745,0.021,0,2.45292319421048e-282,"MTREX","AS_Group_vs_Healthy","upregulated in diseased group"
"TRAV9-2",4.40787615595438e-285,4.621590762307,0.028,0.002,1.2215987978612e-280,"TRAV9-2","AS_Group_vs_Healthy","upregulated in diseased group"
"FBLN5",3.36563572019472e-283,1.18429165741463,0.088,0.038,9.32752283494764e-279,"FBLN5","AS_Group_vs_Healthy","upregulated in diseased group"
"TUT7",6.25027725838772e-282,11.7513755700189,0.021,0,1.73220183938957e-277,"TUT7","AS_Group_vs_Healthy","upregulated in diseased group"
"PTPA",2.75454213291686e-279,11.6140198298508,0.021,0,7.63393806716578e-275,"PTPA","AS_Group_vs_Healthy","upregulated in diseased group"
"AC010642.2",7.30150679784176e-277,11.6155571910083,0.021,0,2.02353959395387e-272,"AC010642.2","AS_Group_vs_Healthy","upregulated in diseased group"
"LINC02361",1.9335433325188e-274,11.6117747592061,0.02,0,5.35862199174259e-270,"LINC02361","AS_Group_vs_Healthy","upregulated in diseased group"
"SPART",5.33142665036325e-274,11.5849814934631,0.02,0,1.47755158188167e-269,"SPART","AS_Group_vs_Healthy","upregulated in diseased group"
"ATP5PO",8.85284744718184e-274,11.5959910137928,0.02,0,2.45347814151197e-269,"ATP5PO","AS_Group_vs_Healthy","upregulated in diseased group"
"BABAM2",4.05303846445364e-273,11.6428845289342,0.02,0,1.12325908003868e-268,"BABAM2","AS_Group_vs_Healthy","upregulated in diseased group"
"AC073111.5",8.14328797627107e-270,11.52768998596,0.02,0,2.25683082974376e-265,"AC073111.5","AS_Group_vs_Healthy","upregulated in diseased group"
"KYAT3",6.1868952255813e-269,11.5194474445966,0.02,0,1.7146361428176e-264,"KYAT3","AS_Group_vs_Healthy","upregulated in diseased group"
"HPF1",1.29532271609747e-267,11.5264908835237,0.02,0,3.58985737539253e-263,"HPF1","AS_Group_vs_Healthy","upregulated in diseased group"
"MARF1",3.56986618631407e-267,11.6373666185172,0.02,0,9.89352714875082e-263,"MARF1","AS_Group_vs_Healthy","upregulated in diseased group"
"AC087239.1",9.83811747230666e-267,11.5825581880214,0.02,0,2.72653587627507e-262,"AC087239.1","AS_Group_vs_Healthy","upregulated in diseased group"
"SHISAL2A",2.71117895138965e-266,11.4709518316292,0.02,0,7.51376134588128e-262,"SHISAL2A","AS_Group_vs_Healthy","upregulated in diseased group"
"TRAPPC2B",2.05877504840253e-265,11.6138650042933,0.02,0,5.70568916914277e-261,"TRAPPC2B","AS_Group_vs_Healthy","upregulated in diseased group"
"WASHC2C",3.12602162423986e-261,11.6098054681772,0.019,0,8.66345632941833e-257,"WASHC2C","AS_Group_vs_Healthy","upregulated in diseased group"
"GNG10",1.85460145003934e-259,2.00981635311892,0.047,0.014,5.13984245863903e-255,"GNG10","AS_Group_vs_Healthy","upregulated in diseased group"
"EIF3J-DT",4.95698408578611e-259,11.475493645538,0.019,0,1.37377856953476e-254,"EIF3J-DT","AS_Group_vs_Healthy","upregulated in diseased group"
"DGLUCY",4.95698409326142e-259,11.5440390578382,0.019,0,1.37377857160647e-254,"DGLUCY","AS_Group_vs_Healthy","upregulated in diseased group"
"VIRMA",8.22661249036862e-259,11.5459256363446,0.019,0,2.27992338558076e-254,"VIRMA","AS_Group_vs_Healthy","upregulated in diseased group"
"MRNIP",8.2266124914965e-259,11.4971358948639,0.019,0,2.27992338589334e-254,"MRNIP","AS_Group_vs_Healthy","upregulated in diseased group"
"YJU2",1.03558731369925e-257,11.5067487855067,0.019,0,2.87002668118611e-253,"YJU2","AS_Group_vs_Healthy","upregulated in diseased group"
"AC013264.1",1.71857891937689e-257,11.4737850439273,0.019,0,4.76286961716111e-253,"AC013264.1","AS_Group_vs_Healthy","upregulated in diseased group"
"AL450998.2",1.64005617485858e-255,11.5605549746391,0.019,0,4.54525168300307e-251,"AL450998.2","AS_Group_vs_Healthy","upregulated in diseased group"
"RWDD3",2.64975223146747e-255,1.84017020154164,0.048,0.014,7.34352333428894e-251,"RWDD3","AS_Group_vs_Healthy","upregulated in diseased group"
"HDHD5",3.42370270313583e-254,11.4349501297347,0.019,0,9.48844967147065e-250,"HDHD5","AS_Group_vs_Healthy","upregulated in diseased group"
"AL121748.1",1.18553887363926e-252,11.5533874164638,0.019,0,3.28560243440384e-248,"AL121748.1","AS_Group_vs_Healthy","upregulated in diseased group"
"AC100810.1",1.96706676344141e-252,11.4819537510093,0.019,0,5.45152882820152e-248,"AC100810.1","AS_Group_vs_Healthy","upregulated in diseased group"
"NGRN",1.28309715179866e-251,1.35846445719045,0.068,0.027,3.55597544649481e-247,"NGRN","AS_Group_vs_Healthy","upregulated in diseased group"
"TEN1",3.17158492909906e-249,5.58264722406044,0.02,0,8.78973047250513e-245,"TEN1","AS_Group_vs_Healthy","upregulated in diseased group"
"ADA2",8.14689016757503e-248,11.5060950514631,0.018,0,2.25782914104174e-243,"ADA2","AS_Group_vs_Healthy","upregulated in diseased group"
